month,sport,handle,ggr
2024-09-01,college_football,947015.0,60343.0
2024-09-01,mlb,1587380.0,137312.0
2024-09-01,nfl,1884015.0,136029.0
2024-09-01,other,430477.0,1237.0
2024-09-01,soccer,521252.0,52912.0
2024-10-01,college_football,1883028.0,215122.0
2024-10-01,mlb,2268456.0,289795.0
2024-10-01,nba,2611973.0,176601.0
2024-10-01,nfl,3786949.0,391657.0
2024-10-01,nhl,1188920.0,166069.0
2024-10-01,other,838451.0,72896.0
2024-10-01,soccer,1028510.0,110943.0
2024-11-01,college_basketball,1045735.0,135608.0
2024-11-01,college_football,2573303.0,160132.0
2024-11-01,nba,4402399.0,376670.0
2024-11-01,nfl,5328696.0,350877.0
2024-11-01,nhl,1700314.0,191777.0
2024-11-01,other,1258983.0,108401.0
2024-11-01,soccer,1509766.0,94581.0
2024-12-01,college_basketball,1839240.0,205473.0
2024-12-01,college_football,2549418.0,194582.0
2024-12-01,nba,5199045.0,451725.0
2024-12-01,nfl,6368501.0,529608.0
2024-12-01,nhl,2012499.0,205114.0
2024-12-01,other,1444065.0,108912.0
2024-12-01,soccer,1845719.0,182017.0
2025-01-01,college_basketball,2533375.0,269236.0
2025-01-01,college_football,2082133.0,195278.0
2025-01-01,nba,7855840.0,758450.0
2025-01-01,nfl,7625426.0,836761.0
2025-01-01,nhl,2705251.0,296306.0
2025-01-01,other,1990767.0,242526.0
2025-01-01,soccer,2347960.0,286553.0
2025-02-01,college_basketball,2857971.0,96193.0
2025-02-01,nba,8943923.0,532267.0
2025-02-01,nfl,4095505.0,285941.0
2025-02-01,nhl,3103894.0,356409.0
2025-02-01,other,2191344.0,164177.0
2025-02-01,soccer,2751463.0,144989.0
2025-03-01,college_basketball,12697560.0,699805.0
2025-03-01,mlb,2797475.0,97184.0
2025-03-01,nba,10434734.0,458993.0
2025-03-01,nhl,3596957.0,256341.0
2025-03-01,other,2569534.0,192492.0
2025-03-01,soccer,3272469.0,188384.0
2025-04-01,college_basketball,2055217.0,299823.0
2025-04-01,mlb,12294100.0,1178570.0
2025-04-01,nba,10595595.0,1099698.0
2025-04-01,nhl,3240476.0,308740.0
2025-04-01,other,2393329.0,233705.0
2025-04-01,soccer,2940810.0,316624.0
2025-05-01,mlb,12990624.0,1326833.0
2025-05-01,nba,12207895.0,1190823.0
2025-05-01,nhl,4480688.0,449408.0
2025-05-01,other,2434524.0,249942.0
2025-05-01,soccer,3593650.0,438315.0
2025-06-01,mlb,10760224.0,1098444.0
2025-06-01,nba,8215457.0,920476.0
2025-06-01,nhl,3664750.0,404792.0
2025-06-01,other,1984345.0,294580.0
2025-06-01,soccer,3531791.0,341860.0
2025-07-01,mlb,14124419.0,1312251.0
2025-07-01,other,2720989.0,220204.0
2025-07-01,soccer,4778049.0,420465.0
2025-08-01,mlb,18065979.0,1407494.0
2025-08-01,other,3375893.0,297179.0
2025-08-01,soccer,4317439.0,397364.0
2025-09-01,college_football,6600768.0,789442.0
2025-09-01,mlb,11960479.0,1134490.0
2025-09-01,nfl,13489942.0,1448690.0
2025-09-01,other,3150323.0,293559.0
2025-09-01,soccer,3938659.0,419567.0
2025-10-01,college_football,5387438.0,512980.0
2025-10-01,mlb,7055867.0,778787.0
2025-10-01,nba,7824842.0,888655.0
2025-10-01,nfl,11050101.0,1086043.0
2025-10-01,nhl,3459208.0,424597.0
2025-10-01,other,2508199.0,187358.0
2025-10-01,soccer,3167265.0,360207.0
2025-11-01,college_basketball,2202849.0,207939.0
2025-11-01,college_football,5402175.0,528534.0
2025-11-01,nba,9096257.0,927986.0
2025-11-01,nfl,11175586.0,1318437.0
2025-11-01,nhl,3499922.0,322256.0
2025-11-01,other,2575262.0,310409.0
2025-11-01,soccer,3227963.0,420307.0
2025-12-01,college_basketball,3080212.0,267930.0
2025-12-01,college_football,4342117.0,472922.0
2025-12-01,nba,8818253.0,896359.0
2025-12-01,nfl,10430422.0,1134801.0
2025-12-01,nhl,3323937.0,320437.0
2025-12-01,other,2418894.0,264788.0
2025-12-01,soccer,3113231.0,333346.0
2026-01-01,college_basketball,3080730.0,252258.0
2026-01-01,college_football,2583896.0,292700.0
2026-01-01,nba,9849267.0,843046.0
2026-01-01,nfl,9517773.0,897899.0
2026-01-01,nhl,3332688.0,341918.0
2026-01-01,other,2449782.0,178562.0
2026-01-01,soccer,2975076.0,292422.0
2026-02-01,college_basketball,2890207.0,167454.0
2026-02-01,nba,9294981.0,831303.0
2026-02-01,nfl,4056149.0,421544.0
2026-02-01,nhl,3216310.0,342786.0
2026-02-01,other,2263319.0,228868.0
2026-02-01,soccer,2907115.0,205561.0
2026-03-01,college_basketball,11129779.0,1070068.0
2026-03-01,mlb,2478028.0,270454.0
2026-03-01,nba,9090982.0,895101.0
2026-03-01,nhl,3149275.0,260629.0
2026-03-01,other,2240920.0,176776.0
2026-03-01,soccer,2781087.0,223351.0
2026-04-01,college_basketball,1527399.0,103590.0
2026-04-01,mlb,9962547.0,809331.0
2026-04-01,nba,8198299.0,746443.0
2026-04-01,nhl,2578608.0,256901.0
2026-04-01,other,1814837.0,68264.0
2026-04-01,soccer,2248360.0,162446.0
2026-05-01,mlb,9593188.0,1220151.0
2026-05-01,nba,8988828.0,907148.0
2026-05-01,nhl,3270718.0,395471.0
2026-05-01,other,1784392.0,184140.0
2026-05-01,soccer,2654281.0,321907.0
2026-06-01,mlb,7475938.0,841575.0
2026-06-01,nba,5680492.0,570862.0
2026-06-01,nhl,2495465.0,293641.0
2026-06-01,other,1356966.0,156962.0
2026-06-01,soccer,2374526.0,220449.0
