month,handle,ggr,to_operator,to_state,hold,state_share
2022-01-01,377952846.0,29582503.0,14495426.0,15087076.0,0.07827035386313773,0.5099999820840042
2022-02-01,387598857.0,29952557.0,14676753.0,15275804.0,0.07727720672819219,0.5099999976629708
2022-03-01,414526720.0,22894581.0,11218345.0,11676237.0,0.05523065195893765,0.5100000301381362
2022-04-01,327051970.0,19637003.0,9622131.0,10014872.0,0.060042454414813644,0.5100000239344059
2022-05-01,313590571.0,21457628.0,10514238.0,10943391.0,0.06842561602402261,0.510000033554501
2022-06-01,270201264.0,16432377.0,8051865.0,8380512.0,0.06081532246274022,0.5099999835690235
2022-07-01,213486612.0,15783928.0,7734125.0,8050036.0,0.07393404135337536,0.5100147441118585
2022-08-01,244543572.0,25891361.0,12686767.0,13204594.0,0.10587626895382063,0.5099999957514787
2022-09-01,422204958.0,44860969.0,21981875.0,22879094.0,0.10625400803559489,0.5099999957646925
2022-10-01,534568272.0,41071463.0,20125017.0,20946446.0,0.0768310899678685,0.5099999968347853
2022-11-01,498710228.0,42339853.0,20746528.0,21593325.0,0.08489870594753472,0.5099999992914477
2022-12-01,523889572.0,44730961.0,21918171.0,22812790.0,0.08538242292022565,0.5099999975408532
2023-01-01,593356155.0,39801860.0,19502912.0,20298949.0,0.06707920641692847,0.5100000100497816
2023-02-01,491299315.0,33484329.0,16407321.0,17077008.0,0.06815464214518598,0.5100000062715905
2023-03-01,589797681.0,52017767.0,25488706.0,26529061.0,0.08819595036691913,0.5099999967318859
2023-04-01,516406585.0,44918778.0,22010201.0,22908577.0,0.08698335634120545,0.510000004897729
2023-05-01,471145522.0,47720457.0,23383024.0,24337433.0,0.10128602474545009,0.5099999985331238
2023-06-01,488531767.0,37127376.0,18192414.0,18934962.0,0.07599787466840412,0.5100000064642327
2023-07-01,340355173.0,41086402.0,20132337.0,20954065.0,0.12071625542767937,0.509999999513221
2023-08-01,446947980.0,35456061.0,17373470.0,18082591.0,0.07932927899125979,0.5099999968975685
2023-09-01,710455907.0,61440814.0,30105999.0,31334815.0,0.08648082645894589,0.5099999977213844
2023-10-01,652324695.0,59282586.0,29048467.0,30234119.0,0.09087895407669642,0.5100000023615704
2023-11-01,732112292.0,54288132.0,26601185.0,27686947.0,0.07415273939970947,0.5099999941055257
2023-12-01,773359363.0,65168050.0,31932345.0,33235706.0,0.08426619385223633,0.5100000076724714
2024-01-01,664793870.0,70966969.0,34773815.0,36193154.0,0.10675033601016809,0.5099999973226981
2024-02-01,607929680.0,53378913.0,26155667.0,27223246.0,0.08780442007700627,0.5100000069315761
2024-03-01,701694079.0,51884703.0,25423504.0,26461198.0,0.07394205616490601,0.5099999897850432
2024-04-01,736982033.0,63195837.0,30965960.0,32229877.0,0.0857494947912794,0.5100000020570975
2024-05-01,812320717.0,84190457.0,41253324.0,42937133.0,0.10364189320558717,0.5099999991685519
2024-06-01,521592095.0,40903346.0,20042640.0,20860706.0,0.07842018004509826,0.5099999887539762
2024-07-01,456788925.0,47963691.0,23502209.0,24461482.0,0.1050018692988233,0.5099999914518673
2024-08-01,526657397.0,43304282.0,21219098.0,22085184.0,0.08222476746111286,0.5100000041566328
2024-09-01,788314334.0,69705224.0,34155560.0,35549664.0,0.08842313401344291,0.5099999965569295
2024-10-01,813704016.0,58904088.0,28863003.0,30041085.0,0.07239006670946552,0.5100000020372101
2024-11-01,745400774.0,77051951.0,37755456.0,39296495.0,0.10336982961061428,0.5099999998702174
2024-12-01,731850172.0,46495937.0,22783009.0,23712928.0,0.06353204355057526,0.5100000027959433
2025-01-01,837860985.0,81976105.0,40168291.0,41807814.0,0.09783974485934561,0.5100000054894045
2025-02-01,717402233.0,51614173.0,25290945.0,26323228.0,0.0719459330146802,0.5099999955438597
2025-03-01,912142505.0,62582503.0,30665427.0,31917077.0,0.0686104448120198,0.5100000075100863
2025-04-01,727349503.0,66844717.0,32753911.0,34090806.0,0.09190178411381962,0.510000004936815
2025-05-01,785030626.0,84166800.0,41241732.0,42925068.0,0.10721467062865901,0.51
2025-06-01,609995614.0,69845558.0,34224323.0,35621234.0,0.11450173804036565,0.5099999916959644
2025-07-01,509352592.0,52499733.0,25724869.0,26774864.0,0.10307149472599524,0.5100000032381117
2025-08-01,579576336.0,62296253.0,30525164.0,31771089.0,0.10748584635104909,0.5099999995184301
2025-09-01,870562820.0,66686329.0,32676301.0,34010028.0,0.0766013979324318,0.5100000031490712
2025-10-01,937979974.0,82914780.0,40628242.0,42286538.0,0.0883971750978982,0.5100000024121152
2025-11-01,916304103.0,89122252.0,43669903.0,45452348.0,0.09726274465890938,0.509999994165318
2025-12-01,801564477.0,84059007.0,41188914.0,42870094.0,0.10486867795664552,0.5100000051154542
2026-01-01,818310959.0,79676671.0,39041569.0,40635102.0,0.09736722956437883,0.5099999973643478
2026-02-01,676655079.0,61562094.0,30165426.0,31396696.0,0.09098002203867298,0.5100004557999602
2026-03-01,758394794.0,77479356.0,37964885.0,39514472.0,0.10216229938941274,0.5100000056789321
2026-04-01,732292889.0,80658996.0,39522908.0,41136088.0,0.11014581352844463,0.5100000004959149
2026-05-01,706459692.0,66473121.0,32571829.0,33901292.0,0.09409329612537894,0.5100000043626656
2026-06-01,785425171.0,41570568.0,20369578.0,21200990.0,0.05292747104994423,0.5100000076977539
2026-07-01,661478586.0,72949455.0,35745233.0,37204222.0,0.11028241358670378,0.5099999993145939
2026-08-01,613981327.0,56259881.0,27567342.0,28692539.0,0.09163125737861405,0.5099999944898568
